Site Lon Lat "Ve (mm/yr)" "σe (mm/yr)" "Vn (mm/yr)" "σn (mm/yr)" "# Epochs" "T (years)" "Avg Epoch time"
ENTZ 7.6399 48.54936 19.36 0.124 15.89 0.11 4017 11.0792 2010.459
EOST 7.7625 48.57984 19.39 0.134 15.597 0.164 3106 8.7178 2011.637
ERCK 7.36421 48.87303 18.9 0.126 15.75 0.133 2376 6.663 2012.6671
ESCO 0.97567 42.69358 19.409 0.118 16.427 0.123 4936 15.9863 2008.00545
EUSK 6.76354 50.67413 18.275 0.106 16.34 0.1 5793 15.9973 2008
EVPA 33.16436 45.21949 23.77 0.133 12.786 0.147 3152 9.6072 2009.4443
FCLZ 5.98569 45.643 21.488 0.357 15.898 0.205 1725 5.2548 2009.3822
FLRS -31.12639 39.45384 -10.084 0.524 19.897 0.34 2756 7.5874 2012.2049
FOYL -7.33665 54.98376 14.2 0.212 17.003 0.191 3141 9.2904 2011.3534
FRES 14.66931 41.97351 23.004 0.129 18.35 0.137 3399 10.2904 2010.8534
FUNC -16.90761 32.64795 14.374 0.265 18.101 0.263 3145 9.4466 2011.27535
GAIA -8.58909 41.10602 17.64 0.128 16.95 0.124 5591 15.9945 2008.00135
GALF 14.56652 37.7107 20.84 0.295 19.441 0.196 2820 8.6466 2011.22055
GANP 20.32294 49.03471 20.58 0.162 13.991 0.172 4447 12.2164 2009.8904
GARI 12.24944 44.6769 21.41 0.182 16.84 0.148 2396 6.6027 2012.69725
GATE 14.90992 41.51314 22.975 0.167 18.594 0.169 2334 6.5014 2012.74795
GBLM 14.02614 37.99035 22.141 0.18 21.3 0.22 4298 12.8712 2009.563
GENO 8.92114 44.41939 20.77 0.094 15.78 0.105 5618 15.9973 2008
GNAL 13.51985 42.58369 23.02 0.277 18.681 0.324 1874 5.2931 2013.35205
GOPE 14.78562 49.91371 20.005 0.099 15 0.089 5788 15.9973 2008
GRAS 6.92058 43.75474 20.45 0.127 16.09 0.108 5621 15.9973 2008
GRAZ 15.49348 47.06713 21.961 0.111 15.68 0.101 5736 15.9973 2008
GRJF 1.51395 45.30294 19.059 0.179 16.239 0.167 1372 4.7589 2013.10135
GRO1 15.10093 41.06704 22.03 0.167 17.808 0.15 2610 7.1885 2012.40435
GROG 9.892 43.4263 20.797 0.124 16.07 0.108 3408 10.4877 2010.7548
GROT 15.05987 41.07284 22.06 0.123 17.68 0.111 4189 11.6038 2010.1967
GRZM 11.14808 44.26483 22.198 0.171 18.905 0.197 2350 7.6885 2012.15435
GSR1 14.54372 46.04813 21.14 0.118 17.293 0.103 5325 14.9288 2008.53425
GUAR 13.31221 41.79443 21.32 0.256 16.67 0.212 3372 9.5863 2011.20545
GUIP -4.41182 48.4446 16.99 0.129 16.659 0.109 4519 13.2027 2009.39725
GUMA 13.33521 43.06284 23.3 0.216 18.915 0.211 2601 7.7268 2012.13525
GWWL 15.20521 52.73797 19.582 0.139 14.756 0.139 2793 7.7459 2012.12565
HAS6 13.71802 56.09218 17.829 0.23 14.803 0.189 1555 4.5425 2013.7274
HELG 7.89309 54.17448 17.599 0.112 15.956 0.09 5769 15.9973 2008
HERS 0.33627 50.86731 16.703 0.117 16.66 0.112 5697 15.9973 2008
HERT 0.33436 50.86748 16.89 0.14 16.38 0.127 4635 12.7863 2009.60545
HFL2 11.38609 47.31291 20.13 0.353 15.893 0.285 1445 4.0082 2009.5014
HFLK 11.38609 47.3129 20.39 0.222 16.461 0.248 2321 7.4959 2003.74935
HMDC 14.78311 36.95902 21.128 0.245 19.793 0.161 2917 9.5644 2011.21645
HOBU 10.4763 53.05063 18.611 0.105 15.41 0.093 5792 15.9973 2008
HOE2 8.29339 54.75875 17.65 0.177 15.413 0.134 3559 9.874 2010.44245
HOFN -15.19792 64.26729 13.48 0.171 14.457 0.145 5723 15.9973 2008
IENG 7.63941 45.01513 20.434 0.117 15.55 0.142 4284 12.0411 2009.97805
IGEO 28.84352 47.03037 22.568 0.138 12.94 0.145 3067 8.4959 2011.75065
IGMI 11.2138 43.79565 21.244 0.121 17.66 0.164 3183 9.0548 2011.4685
ILDX -1.17681 46.00943 19.058 0.28 16.72 0.196 1414 3.8934 2014.0519
INGP 13.3156 42.38249 22.56 0.483 18.635 0.266 3153 9.0827 2008.27145
INGR 12.5148 41.82809 20.798 0.14 16.84 0.101 5116 14.9945 2008.50135
INVE -4.21926 57.48625 13.92 0.219 16.67 0.208 2305 6.5425 2005.77945
INVR -4.21926 57.48625 13.936 0.21 16.664 0.21 2513 6.926 2012.5356
ISTA 29.01934 41.10445 24.349 0.121 10.918 0.135 5336 15.9973 2008
IZAN -16.49968 28.30807 15.34 0.274 16.838 0.313 2658 7.306 2012.3456
JOEN 30.09616 62.39117 20.435 0.105 11.98 0.11 5667 15.9973 2008
JON6 14.05971 57.74543 17.42 0.227 14.436 0.205 1555 4.5425 2013.7274
JOPP 15.88566 38.60684 23.98 0.145 18.129 0.143 3318 9.3178 2011.3397
JOZ2 21.03235 52.09784 20.804 0.1 14.17 0.113 4578 13.2027 2009.39725
JOZE 21.03154 52.09728 20.702 0.113 14.38 0.103 5741 15.9945 2008.00135
KAD6 13.50562 59.44405 16.39 0.203 14.452 0.193 1555 4.5425 2013.7274
KARL 8.41126 49.01125 19.42 0.104 15.81 0.099 5798 15.9973 2008
KASI 19.93554 39.74636 19.91 0.195 14.3 0.158 2988 8.7507 2011.62325
KATO 19.03564 50.25327 21.53 0.113 11.437 0.133 4362 12.4411 2009.77805
KELY -50.94484 66.98742 -18.23 0.234 11.61 0.221 5200 15.9973 2008
KHAR 36.23901 50.0051 23.66 0.213 11.55 0.241 4070 12.0466 2009.97535
KIR0 21.06024 67.87758 15.947 0.118 14.517 0.13 5763 15.9973 2008
KIRU 20.96845 67.85735 15.899 0.129 14.57 0.154 5701 15.9973 2008
KLOK 22.01439 39.56474 21.053 0.158 5.988 0.14 2685 7.4563 2012.27045
KLOP 8.72994 50.21977 18.827 0.111 15.71 0.118 5749 15.9945 2008.00135
KOSG 5.80965 52.17843 17.871 0.135 16.3 0.142 4519 13.926 2006.9644
KRA1 19.92046 50.06611 21.151 0.166 14.52 0.225 2150 5.9096 2013.0438
KRAW 19.92048 50.06614 21.09 0.095 14.64 0.126 4718 12.9562 2009.52055
KRPS 27.16107 35.5471 11.65 0.625 -16.99 0.443 1058 3.2127 2014.2252
KTVL 33.96947 44.39289 24.99 0.3 5.15 0.424 2098 5.9973 2013
KUNZ 15.20093 49.10729 20.83 0.151 15.64 0.166 3585 10.2712 2010.863
KURE 22.51006 58.25564 19.73 0.145 13.3 0.13 2820 7.7514 2012.12295
LAGO -8.66838 37.09894 17.456 0.132 17.324 0.118 5459 15.9918 2008
LAMA 20.66994 53.8924 20.081 0.093 14.41 0.098 5808 15.9973 2008
LAMP 12.60566 35.49978 20.11 0.15 18.4 0.138 5239 15.9973 2008
LARM 22.38791 39.61411 20.929 0.192 4.571 0.187 1794 4.9479 2013.52465
LASP 9.83966 44.07329 20.89 0.122 16.22 0.12 3733 10.5315 2010.73285
LEBE 5.62465 45.91608 19.58 0.139 16.105 0.139 2746 9.189 2011.4041
LEK6 14.87714 60.72219 16.48 0.218 14.534 0.233 1553 4.5425 2013.7274
LEMN 25.18057 39.89722 8.429 0.253 0.42 0.21 2935 8.4712 2011.75755
LEON -5.65097 42.58841 17.79 0.262 16.69 0.229 3026 8.337 2011.8301
LIL2 3.13596 50.61351 18.25 0.202 16.076 0.161 2755 7.8607 2012.0683
LINZ 14.28306 48.30978 20.464 0.146 15.185 0.109 4132 14.6411 2008.67805
LLIV 1.97305 42.47813 19.714 0.129 16.218 0.141 5686 15.9945 2008.00135
LNSS 13.04025 42.60285 21.097 0.221 17.16 0.155 3383 9.589 2011.2041
LODZ 19.45951 51.77872 20.66 0.151 14.31 0.183 2793 7.7459 2012.12565
LOV6 17.82892 59.33789 17.876 0.253 13.82 0.22 1473 4.3534 2013.8219
LPAL -17.89383 28.76387 15.947 0.194 17.25 0.233 5248 14.5452 2008.726
LPEL 14.18321 42.04686 24.72 0.336 18.47 0.276 2432 7.7213 2012.13795
LROC -1.21932 46.15894 18.165 0.101 16.38 0.083 4915 14.1041 2008.94655
M0SE 12.49326 41.89311 20.066 0.15 16.185 0.118 3949 11.2104 2010.39345
MAD2 -4.24966 40.42916 18.62 0.147 16.4 0.144 5554 15.9973 2008
MADR -4.24966 40.42916 18.576 0.151 16.39 0.138 5008 15.5027 2008.24725
MAGA 10.62908 45.77537 20.1 0.207 16.018 0.138 3203 9.6438 2011.1767
MAKS 7.03152 47.92301 19.471 0.192 15.9 0.193 3129 8.6685 2011.66435
MALA -4.39353 36.72612 17.59 0.211 14.857 0.157 4060 14.9973 2008.5
MALL 2.62456 39.55263 19.76 0.17 16.599 0.13 5458 15 2008.4986
MALT 14.5262 35.83798 21.34 0.12 19.82 0.116 2969 9.1781 2011.0178
MANS 0.15528 48.01861 17.49 0.177 16.7 0.182 2898 8.1311 2004.07515
MAON 11.1307 42.42818 20.699 0.128 15.94 0.156 3665 10.6767 2010.66025
MAR6 17.25853 60.59514 17.639 0.104 14.075 0.085 5826 15.9973 2008
MARJ 12.89348 50.35689 19.641 0.127 15.28 0.144 3703 10.4904 2010.4301
MARS 5.35379 43.27877 20.22 0.145 16.14 0.146 5590 15.9973 2008
MAS1 -15.63327 27.76374 16.51 0.194 17.42 0.202 5752 15.9973 2008
MAT1 16.70455 40.64906 23.69 0.106 18.868 0.118 5208 14.6219 2008.68765
MATE 16.70446 40.64913 23.31 0.091 19.312 0.099 5831 15.9891 2008.0041
MATG 16.70446 40.64913 23.38 0.222 19.41 0.231 1424 3.9126 2014.04235
MCEL 15.80146 40.32552 22.958 0.185 19.42 0.149 3325 9.411 2011.29315
MCRV 15.16815 40.7826 21.14 0.402 17.04 0.273 3557 10.4466 2010.77535
MDOR 4.80896 45.79902 19.55 0.132 15.99 0.116 3985 11.2164 2008.33835
MDVJ 37.21451 56.02149 22.57 0.161 11.81 0.144 4769 13.5589 2009.21915
MDVO 37.2235 56.02749 22.46 0.459 11.533 0.564 1014 3.0685 2001.53565
MEDI 11.64682 44.51996 22.24 0.163 17.652 0.153 5657 15.9507 2007.97675
MELA 15.1271 41.70603 22.97 0.203 18.97 0.278 2843 7.9754 2012.0109
MELI -2.95165 35.28119 17.43 0.337 19.35 0.276 1417 4.0438 2013.9767
METS 24.39532 60.21747 19.98 0.123 12.952 0.133 5639 15.9863 2008.00545
MFUS 14.83398 41.05792 20.865 0.229 17.6 0.228 1224 4.1178 2013.9397
MGAB 12.11145 42.91304 20.593 0.169 17.04 0.168 2638 7.7432 2012.12705
MGRD 12.01512 45.97534 20.728 0.29 16.302 0.441 1290 6.3068 2012.8452
MIKL 31.97284 46.97279 23.528 0.108 12.289 0.118 4915 13.5616 2009.2178
MILO 12.58432 38.00817 22.033 0.266 18.196 0.237 2491 6.8602 2008.615
MLAG 12.77871 43.4309 23.22 0.481 19.029 0.355 1028 3.4098 2014.2937
MLVL 2.58731 48.84106 18.47 0.103 16.066 0.089 5622 15.9399 2008.02865
MMNO 15.97207 39.86999 21.095 0.515 16.785 0.258 1535 4.2931 2013.85205
MOCO 15.15857 41.37116 22.91 0.155 18.85 0.174 3538 10.1562 2010.92055
MODA 6.71009 45.21378 20.01 0.144 15.342 0.195 2980 9.2493 2011.37395
MODE 10.94871 44.62895 21.63 0.135 19.16 0.153 3549 9.8137 2011.09175
MODR 13.88082 41.14605 20.88 0.153 17.028 0.154 2866 9.4712 2011.263
MONC 7.92723 45.07394 20.53 0.111 15.688 0.124 3581 10.6356 2010.6808
MOP2 17.27384 48.3727 21.802 0.194 14.893 0.179 2856 8.0685 2011.96435
MOPI 17.27388 48.37273 21.451 0.142 15.032 0.139 5582 15.8164 2007.9096
MRGE 7.06108 45.76977 19.31 0.144 15.35 0.145 3366 10.3123 2010.84245
MRLC 15.48874 40.75643 23.5 0.302 19.47 0.392 3878 11.1038 2010.4467
MRVN 16.19592 41.0609 23.293 0.149 19.324 0.121 3294 9.6247 2011.1863
MSAG 15.90969 41.71212 23.22 0.129 18.752 0.151 3444 9.6027 2011.19725
MSEL 11.64649 44.52003 21.973 0.108 18.29 0.116 3942 11.3142 2010.3415
MSRU 15.50834 38.26382 23.19 0.164 19.23 0.142 3355 10.411 2010.79315
MT01 12.20056 45.74871 20.5 0.136 17.229 0.174 2400 7.2104 2012.39345
MTPL 3.86484 43.63744 19.861 0.155 16.06 0.149 2455 7.1507 2010.32465
MTRZ 11.42498 44.31276 22.27 0.184 20.49 0.389 2440 7.2541 2012.37155
MTSN 15.75119 40.26623 23 0.18 18.67 0.152 2983 9.411 2011.29315
MTTG 15.6999 38.00309 23.739 0.165 17.76 0.169 2883 9.9726 2011.0123
MTTO 12.99274 42.4555 21.007 0.232 17.06 0.194 3027 10.4658 2010.76575
MUR1 12.52468 43.26317 21.67 0.273 17.37 0.445 1220 3.4126 2014.29235
MURB 12.52473 43.26317 22.57 0.258 16.19 0.417 2693 8.0847 2008.52455
MVAL 12.40663 43.38212 21.22 0.185 17.18 0.133 3382 9.5096 2011.2438
NEAB 23.0603 36.50922 6.46 0.59 -13.6 0.367 1237 3.5082 2014.2445
NEWL -5.54279 50.10303 15.281 0.162 16.28 0.168 5418 15.9973 2008
NICE 7.29998 43.7255 20.53 0.13 15.71 0.139 3279 9.2493 2011.37395
NICO 33.39645 35.14099 19.18 0.125 15.439 0.128 5188 15.9973 2008
NOA1 23.86403 38.04706 7.894 0.21 -11.643 0.278 3543 9.8 2011.0986
NOCI 17.06437 40.78881 24 0.148 19.01 0.106 3669 10.4301 2010.78355
NOR7 16.24637 58.59014 17.619 0.262 14.202 0.208 1549 4.526 2013.7356
NOT1 14.98979 36.87585 21.45 0.148 19.804 0.123 5507 15.3142 2008.3415
NPLD -0.33964 51.42098 17.112 0.176 16.316 0.158 2247 6.9452 2004.4822
NVRK 23.86973 41.33574 18.38 1.435 12.27 0.918 1668 5.9808 2010.52055
NYA1 11.86531 78.92956 10.33 0.125 14.63 0.154 5763 15.9973 2008
NYAL 11.86509 78.92959 10.054 0.137 14.223 0.183 5779 15.9973 2008
NYIR 22.13577 47.8352 22.29 0.297 14.18 0.348 1613 4.5123 2005.16165
OBE2 11.27962 48.08608 20.33 0.257 15.88 0.201 2270 6.3534 2004.76985
OBE4 11.27786 48.08481 19.418 0.304 16.02 0.282 1154 3.2568 2014.3702
ONSA 11.92552 57.3953 17.14 0.103 14.718 0.085 5771 15.9973 2008
OPMT 2.33494 48.83592 18.065 0.109 15.95 0.099 4970 13.9452 2009.026
ORID 20.79405 41.12731 24.073 0.139 11.65 0.117 5354 15.4453 2008.27595
OROS 20.67135 46.55523 22.344 0.125 14.5 0.108 5081 14.1123 2008.94245
OSK6 15.99687 57.06568 18.21 0.209 14.214 0.186 1553 4.537 2013.7301
OST6 14.85798 63.44276 15.03 0.232 15.037 0.23 1530 4.4822 2013.7575
OVE6 22.77345 66.31783 16.879 0.236 14.05 0.252 1483 4.389 2013.8041
PADO 11.89606 45.41115 20.869 0.104 16.64 0.129 4768 14.0932 2008.95205
PALI 4.81046 43.37597 19.82 0.127 16.543 0.149 2343 8.0657 2011.96575
PALZ 15.96015 40.94391 23.287 0.143 19.406 0.119 3307 9.3973 2011.3
PAOL 14.56749 41.03121 21.98 0.345 16.71 0.204 2154 6.2548 2012.8712
PARM 10.31219 44.76457 21.61 0.109 17.32 0.116 3686 10.2082 2010.8945
PASA -1.93151 43.32177 18.785 0.146 16.787 0.164 3176 8.8822 2011.5575
PAT0 21.78675 38.28366 7.19 0.253 -7.13 0.298 2463 6.9288 2012.53425
PDEL -25.66276 37.74775 12.371 0.212 16.07 0.213 5524 15.8306 2008.0833
PEN2 19.28191 47.78974 22.42 0.531 17.665 0.64 1098 3.0492 2014.47405
PESA 12.84052 43.94104 15.332 0.809 22.775 1.049 1506 5.074 2009.02875
PESR 12.84053 43.94103 22.34 0.859 19.351 0.612 1429 4.411 2013.79315
PFA2 9.78467 47.51533 20.002 0.163 16.08 0.135 2889 8.0849 2011.95615
PIET 12.40194 43.45072 21.284 0.136 17.33 0.105 3093 9.5068 2011.2452
PIGN 14.17989 41.2 21.473 0.217 17.57 0.201 1466 4.389 2013.8041
PIOB 12.52607 43.6075 22.615 0.3 18.86 0.315 1201 3.4098 2014.2937
PIPA 16.81578 39.48514 24.319 0.15 18.427 0.138 2968 8.6493 2011.61915
PLAC 16.43833 38.44944 24.273 0.203 17.93 0.161 3581 10.2931 2010.85205
PLOE -3.42734 47.74612 17.009 0.148 16.843 0.173 3122 9.0712 2011.463
POFI 13.71192 41.71744 21.483 0.173 17.05 0.259 3028 8.7616 2011.6178
POLV 34.54293 49.60261 22.279 0.108 12.46 0.115 5256 14.5343 2008.7315
PORE 13.59505 45.22602 20.69 0.27 18.17 0.251 1516 4.2794 2013.8589
POTS 13.06609 52.3793 19.06 0.094 15.33 0.096 5806 15.9973 2008
POUS 12.29786 50.13844 19.201 0.132 15.324 0.152 3885 10.8137 2010.59175
POZE 17.67546 45.33282 23.1 0.215 15.728 0.216 1523 4.2794 2013.8589
PRAT 11.09913 43.88556 21.65 0.113 17.413 0.109 5476 15.9973 2008
