x	y	emax	trend	emin	trend	
22.9726	39.4524	3.6812e-08	28.72	3.1874e-08	118.72	
23.2049	39.4482	4.2166e-08	12.57	8.1901e-09	102.57	
23.4371	39.4436	4.8452e-08	16.29	-1.2074e-08	106.29	
23.6693	39.4385	5.1963e-08	15.74	-2.3210e-08	105.74	
23.9014	39.4329	6.0073e-08	6.59	-4.0609e-08	96.59	
24.1335	39.4269	9.2035e-08	2.31	-9.4668e-08	92.31	
24.3655	39.4204	8.0066e-08	6.89	-1.1832e-07	96.89	
24.5974	39.4135	7.4165e-08	8.35	-1.2263e-07	98.35	
19.9478	39.6446	2.6622e-08	105.78	-2.2869e-08	15.78	
20.1809	39.6465	2.4800e-08	91.40	-1.0409e-08	1.40	
20.4140	39.6479	2.0011e-08	68.88	2.1818e-10	338.88	
20.6471	39.6488	2.0763e-08	33.90	-1.0602e-09	123.90	
20.8802	39.6493	1.8367e-08	15.13	-1.1438e-08	105.13	
21.1133	39.6493	1.3878e-08	9.79	-1.1246e-08	99.79	
21.3464	39.6488	6.6535e-09	4.29	-5.2196e-09	94.29	
21.8126	39.6465	4.1978e-09	345.73	-4.9956e-09	75.73	
22.2788	39.6423	6.8091e-09	357.49	-1.3224e-09	87.49	
22.5118	39.6395	1.4458e-08	330.63	6.8974e-09	60.63	
22.7448	39.6363	2.7262e-08	121.75	1.2408e-08	31.75	
22.9777	39.6325	4.2723e-08	113.98	1.1312e-08	23.98	
23.2106	39.6283	3.2572e-08	317.21	2.8515e-09	47.21	
23.4434	39.6237	3.8510e-08	351.48	-1.9919e-08	81.48	
23.6762	39.6185	6.7499e-08	356.60	-4.4233e-08	86.60	
23.9089	39.6129	9.0401e-08	357.82	-6.8912e-08	87.82	
24.1416	39.6069	9.9255e-08	1.62	-1.0063e-07	91.62	
24.3742	39.6003	9.2410e-08	3.77	-1.0892e-07	93.77	
24.6067	39.5933	8.8398e-08	4.68	-1.1140e-07	94.68	
19.9451	39.8248	3.7612e-08	96.96	-2.0978e-08	6.96	
20.1788	39.8267	3.3968e-08	79.59	-1.5748e-08	349.59	
20.4125	39.8281	3.0243e-08	66.08	-1.4520e-08	336.08	
20.6462	39.8290	1.7398e-08	54.70	-1.0455e-08	324.70	
21.1136	39.8295	7.9580e-09	346.35	-1.2591e-08	76.35	
21.3473	39.8290	8.5766e-09	335.04	-1.0887e-08	65.04	
21.5811	39.8281	7.8377e-09	332.92	-9.2321e-09	62.92	
21.8148	39.8267	7.7676e-09	340.99	-6.4473e-09	70.99	
22.0484	39.8248	9.7105e-09	0.56	-4.3215e-09	90.56	
22.2821	39.8225	1.5298e-08	10.61	-1.4244e-09	100.61	
22.5157	39.8197	2.1518e-08	5.84	8.0826e-09	95.84	
22.7493	39.8164	2.7584e-08	339.66	1.9052e-08	69.66	
22.9828	39.8126	3.9680e-08	316.94	2.1056e-08	46.94	
23.2163	39.8084	5.0003e-08	337.35	6.6588e-09	67.35	
23.4498	39.8037	6.9619e-08	351.81	-2.4520e-08	81.81	
23.6832	39.7985	8.4349e-08	356.30	-4.7950e-08	86.30	
23.9165	39.7929	8.8778e-08	359.92	-7.5839e-08	89.92	
24.1498	39.7868	9.0337e-08	3.80	-1.0719e-07	93.80	
24.3830	39.7802	9.0365e-08	4.20	-1.0988e-07	94.20	
24.6161	39.7732	9.0142e-08	4.41	-1.1076e-07	94.41	
24.8491	39.7657	8.9621e-08	4.84	-1.1239e-07	94.84	
